No handlers could be found for logger "django.request"
127.0.0.1 - - [07/Nov/2014 14:45:00] "GET / HTTP/1.1" 500 88499
127.0.0.1 - - [07/Nov/2014 14:45:01] "GET / HTTP/1.1" 500 88499
Cannot start server at localhost:4607, please check...
127.0.0.1 - - [07/Nov/2014 14:45:42] "GET / HTTP/1.1" 500 88687
127.0.0.1 - - [07/Nov/2014 14:45:44] "GET / HTTP/1.1" 500 88687
127.0.0.1 - - [07/Nov/2014 14:45:54] "GET / HTTP/1.1" 500 88687
127.0.0.1 - - [07/Nov/2014 14:46:04] "GET / HTTP/1.1" 500 88499
127.0.0.1 - - [07/Nov/2014 14:47:22] "GET / HTTP/1.1" 500 88499
127.0.0.1 - - [07/Nov/2014 14:49:21] "GET / HTTP/1.1" 500 88687
127.0.0.1 - - [07/Nov/2014 14:49:49] "GET / HTTP/1.1" 500 88687
127.0.0.1 - - [07/Nov/2014 14:51:01] "GET / HTTP/1.1" 200 3882
127.0.0.1 - - [07/Nov/2014 14:51:05] "GET / HTTP/1.1" 200 3882
127.0.0.1 - - [07/Nov/2014 14:52:06] "POST /login/ HTTP/1.1" 200 40
127.0.0.1 - - [07/Nov/2014 14:52:06] "GET /list/ HTTP/1.1" 200 4131
127.0.0.1 - - [07/Nov/2014 14:52:10] "GET / HTTP/1.1" 302 0
127.0.0.1 - - [07/Nov/2014 14:52:14] "GET / HTTP/1.1" 302 0
127.0.0.1 - - [07/Nov/2014 14:52:14] "GET /list/ HTTP/1.1" 200 4131
127.0.0.1 - - [07/Nov/2014 14:52:17] "GET /logout/ HTTP/1.1" 302 0
127.0.0.1 - - [07/Nov/2014 14:52:17] "GET / HTTP/1.1" 200 3882
127.0.0.1 - - [07/Nov/2014 14:52:22] "POST /login/ HTTP/1.1" 200 38
127.0.0.1 - - [07/Nov/2014 14:52:27] "POST /login/ HTTP/1.1" 200 40
127.0.0.1 - - [07/Nov/2014 14:52:27] "GET /list/ HTTP/1.1" 200 4131
127.0.0.1 - - [07/Nov/2014 14:54:22] "GET /add/ HTTP/1.1" 200 18272
